url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,6171,3210
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/233-blip-visual-language-processing,3291,1625
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2442,523
/openvinotoolkit/openvino_notebooks,2409,1091
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/231-instruct-pix2pix-image-editing,2253,1167
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/236-stable-diffusion-v2,2135,964
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,1532,526
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,1248,332
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/242-freevc-voice-conversion,934,486
/openvinotoolkit/openvino_notebooks/blob/main/README.md,891,254
