time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,252,67,3496,578
2024-05-18 00:00:00+00:00,77,40,1229,232
2024-05-19 00:00:00+00:00,65,22,1345,245
2024-05-20 00:00:00+00:00,223,57,5074,658
2024-05-21 00:00:00+00:00,427,108,4673,614
2024-05-22 00:00:00+00:00,245,68,4300,691
2024-05-23 00:00:00+00:00,512,69,3760,581
2024-05-24 00:00:00+00:00,432,69,3768,522
2024-05-25 00:00:00+00:00,75,45,1207,232
2024-05-26 00:00:00+00:00,102,39,1389,207
2024-05-27 00:00:00+00:00,433,75,3772,539
2024-05-28 00:00:00+00:00,551,91,4901,651
2024-05-29 00:00:00+00:00,488,92,5337,1039
2024-05-30 00:00:00+00:00,500,77,5389,989
