time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-18 00:00:00+00:00,131,17,755,175
2023-10-19 00:00:00+00:00,180,67,3834,763
2023-10-20 00:00:00+00:00,259,83,3472,738
2023-10-21 00:00:00+00:00,56,21,1287,431
2023-10-22 00:00:00+00:00,53,17,1651,419
2023-10-23 00:00:00+00:00,486,44,3180,560
2023-10-24 00:00:00+00:00,272,45,2951,563
2023-10-25 00:00:00+00:00,353,44,3524,601
2023-10-26 00:00:00+00:00,285,62,3002,573
2023-10-27 00:00:00+00:00,279,55,2993,581
2023-10-28 00:00:00+00:00,53,16,1277,389
2023-10-29 00:00:00+00:00,107,20,1108,400
2023-10-30 00:00:00+00:00,518,56,3245,570
2023-10-31 00:00:00+00:00,316,57,3542,884
2023-11-01 00:00:00+00:00,326,53,4173,1074
2023-11-02 00:00:00+00:00,347,43,4670,1004
2023-11-03 00:00:00+00:00,219,33,3690,945
2023-11-04 00:00:00+00:00,62,17,2307,879
2023-11-05 00:00:00+00:00,127,14,2304,915
2023-11-06 00:00:00+00:00,566,41,4418,1062
2023-11-07 00:00:00+00:00,439,55,4239,1072
2023-11-08 00:00:00+00:00,651,61,4432,1035
2023-11-09 00:00:00+00:00,640,100,4315,1120
2023-11-10 00:00:00+00:00,158,43,3295,856
2023-11-11 00:00:00+00:00,72,20,2268,835
2023-11-12 00:00:00+00:00,54,12,2463,910
2023-11-13 00:00:00+00:00,275,39,2982,905
2023-11-14 00:00:00+00:00,409,51,4140,1009
2023-11-15 00:00:00+00:00,397,49,4376,1060
2023-11-16 00:00:00+00:00,433,63,4507,1049
2023-11-17 00:00:00+00:00,288,50,4532,1089
2023-11-18 00:00:00+00:00,81,30,2672,867
2023-11-19 00:00:00+00:00,108,24,2391,858
2023-11-20 00:00:00+00:00,266,44,3788,905
2023-11-21 00:00:00+00:00,338,62,4155,1057
2023-11-22 00:00:00+00:00,292,52,5665,973
2023-11-23 00:00:00+00:00,202,57,4316,908
2023-11-24 00:00:00+00:00,119,39,3338,747
2023-11-25 00:00:00+00:00,47,20,2021,748
2023-11-26 00:00:00+00:00,45,28,2118,748
2023-11-27 00:00:00+00:00,263,49,3028,662
2023-11-28 00:00:00+00:00,223,53,3607,815
2023-11-29 00:00:00+00:00,201,54,3746,853
2023-11-30 00:00:00+00:00,207,47,4079,786
2023-12-01 00:00:00+00:00,408,54,3570,888
