time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-13 00:00:00+00:00,1,1,0,0
2023-10-14 00:00:00+00:00,27,1,0,0
2023-10-15 00:00:00+00:00,28,1,0,0
2023-10-16 00:00:00+00:00,27,1,0,0
2023-10-17 00:00:00+00:00,27,1,0,0
2023-10-18 00:00:00+00:00,27,1,0,0
2023-10-19 00:00:00+00:00,27,1,0,0
2023-10-20 00:00:00+00:00,27,1,0,0
2023-10-21 00:00:00+00:00,27,1,0,0
2023-10-22 00:00:00+00:00,28,1,0,0
2023-10-23 00:00:00+00:00,27,1,0,0
2023-10-24 00:00:00+00:00,27,1,0,0
2023-10-25 00:00:00+00:00,27,1,0,0
2023-10-26 00:00:00+00:00,27,1,3,1
2023-10-27 00:00:00+00:00,63,6,122,1
2023-10-28 00:00:00+00:00,19,2,0,0
2023-10-29 00:00:00+00:00,20,2,0,0
2023-10-30 00:00:00+00:00,18,1,0,0
